CIT_ID_NO_x,legal_form,sector,province,small_business,revenue,expenditure,income,tax_free_income_total,tax_base_before_deductions,deductions_from_tax_base,income_tax_base_after_deductions,citax,weight_x,tax_collected_under_current_policy,weighted_tax_collected_under_current_policy,ID_NO,CIT_ID_NO_y,tax_collected_under_benchmark_cit_rate_small_business,weight_y,weighted_tax_collected_under_benchmark_cit_rate_small_business,tax_expenditure_Small Corporations Tax rate,tax_expenditure_Rate at which Small Corporations are Taxed,CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_statistic_purpose_art_17_1_4d_etc,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_statistic_purpose_art_17_1_4d_etc,"tax_expenditure_Revenue(s) Tax-Free, Intended For Statutory Purposes or Other Purposes","tax_expenditure_Dochody(Przych.) Wolne Od Pod.,Cele Stat.",CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_4,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_4,tax_expenditure_Tax-Free Income from (Article 17 (1) (4)),tax_expenditure_Dochody Wolne Od Podatku (Art.17 Ust.1 Pkt 4),CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_non_agriculture_art_17_1_4e,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_non_agriculture_art_17_1_4e,tax_expenditure_Tax Free Income from Non-Agricultural Activities,tax_expenditure_Dochody Z DziaÅ‚alnoÅ›ci Pozarolniczej-Wolne Od Podatku,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_subsidies_art_17_1_21,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_subsidies_art_17_1_21,"tax_expenditure_Grants, Subsidies, Surcharges And Other Gratuitous Benefits","tax_expenditure_Dotacje, Subwen., DopÅ‚aty I Inne Nieodp. Swiad.-Wolne Od Podatku",CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_23_24,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_23_24,tax_expenditure_Totax-Free Income Pursuant to Article 17 Clause 1 point 23 and 24,tax_expenditure_DochÃ³d Wolny Od Podatku na Podstawie Art. 17 Ust.1 Pkt 23 I Pkt 24,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_34,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_34,tax_expenditure_Tax-Free Income Pursuant to Article 17(1) point 34,tax_expenditure_Dochody Wolne Od Podatku Na Podstawie Art.17 Ust.1 Pkt.34,CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_39,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_39,tax_expenditure_Tax-Free Income Pursuant to Article 17(1) point 39,tax_expenditure_Dochody Wolne Od Podatku na Podstawie Art.17 Ust.1 Pkt.34,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_housing_coops_art_17_1_44,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_housing_coops_art_17_1_44,"tax_expenditure_Income of Housing Cooperatives, Housing Associations-Tax Free","tax_expenditure_Dochody SpÃ³Å‚dzielni Mieszkan.,WspÃ³lnot Mieszkan-Wolne od Podatku",CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_subsidies_state_local_art_17_1_47,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_subsidies_state_local_art_17_1_47,tax_expenditure_Subsidies from the State Budget or Local Government-Tax-Free,tax_expenditure_Dotacje z BudÅ¼etu PaÅ„stwa Lub Jst- Wolne od Podatku,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_amounts_government_agencies_art_17_1_48,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_amounts_government_agencies_art_17_1_48,tax_expenditure_Amounts from Government Agencies or Executive Agencies-Tax-Free,tax_expenditure_Kwoty od Agencji RzÄ…dowych Lub Agencji Wykonawczych-Wolne od Podat.,CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_agriculture_producer_groups_art_17_1_49,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_agriculture_producer_groups_art_17_1_49,tax_expenditure_Income of Agricultural Producer Groups-Tax Free,tax_expenditure_Dochody Grup ProducentÃ³w Rolnych-Wolne od Podatku Na,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_financial_programs_central_europe_art_17_1_52,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_financial_programs_central_europe_art_17_1_52,tax_expenditure_Income from Paying Financial Programs from Central Europe-Tax Free,tax_expenditure_Dochody z Tyt. PÅ‚atn. Progr.Finans.z Udz.Å›rod.Europ.-od Podatku,CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_environmental_finances_art_17_1_53,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_environmental_finances_art_17_1_53,"tax_expenditure_Income from Environmental Finances, Received by Project Participant-Free of Tax","tax_expenditure_Dochody z Tyt. Å›rod.Fin., Otrz. Przez Uczest.Proj.-Wolne od Podatku",CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_other_art_17_1,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_other_art_17_1,tax_expenditure_Other Income-Free of Tax Pursuant to Article 17 clause 1,tax_expenditure_PozostaÅ‚e Dochody (Przychody) Wolne od Podatku z Art.17 Ust.1 ,CIT_ID_NO,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_other,weight,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_other,tax_expenditure_Tax-Free Income-Other,tax_expenditure_Dochody Wolne od Podatku-Inne
84,0.0,Not determined,Mazowieckie,0,8661546.39,8728450.98,0.0,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A84,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0,84,0,800,0,0.0,0.0
85,0.0,Wholesale/Retail Trade,Mazowieckie,0,8661522.22,8540205.8,121316.41999999993,0.0,121316.41999999993,0.0,121316.41999999993,23050.119799999986,800,23050.119799999986,18440095.83999999,A85,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0,85,23050,800,18440096,0.0,0.0
86,0.0,Hotels and Restaurants,Mazowieckie,0,8661201.53,11207321.94,0.0,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A86,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0,86,0,800,0,0.0,0.0
87,0.0,Manufacturing,Małopolskie,0,8660204.59,403927.74,8256276.85,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A87,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0,87,0,800,0,0.0,0.0
88,0.0,Not determined,Małopolskie,0,8659913.5,8541408.44,118505.06000000052,0.0,118505.06000000052,0.0,118505.06000000052,22515.9614000001,800,22515.9614000001,18012769.12000008,A88,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0,88,22516,800,18012769,0.0,0.0
89,0.0,Wholesale/Retail Trade,Warmińsko-Mazurskie,0,8658507.36,7333169.04,1325338.3199999994,0.0,1325338.3199999994,0.0,1325338.3199999994,251814.2807999999,800,251814.2807999999,201451424.63999993,A89,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0,89,251814,800,201451425,0.0,0.0
90,0.0,Manufacturing,Mazowieckie,0,8657544.83,7885106.0,772438.8300000001,0.0,772438.8300000001,0.0,772438.8300000001,146763.3777,800,146763.3777,117410702.16000001,A90,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0,90,146763,800,117410702,0.0,0.0
91,0.0,Finance,Mazowieckie,0,8657262.15,0.0,8657262.15,8657262.15,0.0,0.0,0.0,0.0,800,0.0,0.0,A91,91,0,800,0,0.0,0.0,91,0,800,0,0.0,0.0,91,0,800,0,0.0,0.0,91,0,800,0,0.0,0.0,91,0,800,0,0.0,0.0,91,0,800,0,0.0,0.0,91,0,800,0,0.0,0.0,91,0,800,0,0.0,0.0,91,0,800,0,0.0,0.0,91,0,800,0,0.0,0.0,91,0,800,0,0.0,0.0,91,0,800,0,0.0,0.0,91,0,800,0,0.0,0.0,91,0,800,0,0.0,0.0,91,1644880,800,1315903847,1315.9038467999999,1315.9038467999999,91,0,800,0,0.0,0.0
92,0.0,Manufacturing,Dolnośląskie,0,8656598.14,4832057.27,3824540.870000001,0.0,3824540.870000001,0.0,3824540.870000001,726662.7653000002,800,726662.7653000002,581330212.2400001,A92,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0,92,726663,800,581330212,0.0,0.0
93,0.0,Manufacturing,Wielkopolskie,0,8655875.39,8453035.44,202839.95000000112,0.0,202839.95000000112,0.0,202839.95000000112,38539.59050000021,800,38539.59050000021,30831672.400000166,A93,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0,93,38540,800,30831672,0.0,0.0
94,0.0,Other Service Activities,Łódzkie,0,8654673.58,8297094.86,357578.71999999974,311728.72,45849.99999999977,0.0,45849.99999999977,8711.499999999956,800,8711.499999999956,6969199.999999965,A94,94,8711,800,6969200,0.0,0.0,94,8711,800,6969200,0.0,0.0,94,67940,800,54351965,47.38276544000001,47.38276544000001,94,8711,800,6969200,0.0,0.0,94,8711,800,6969200,0.0,0.0,94,8711,800,6969200,0.0,0.0,94,8711,800,6969200,0.0,0.0,94,8711,800,6969200,0.0,0.0,94,8711,800,6969200,0.0,0.0,94,8711,800,6969200,0.0,0.0,94,8711,800,6969200,0.0,0.0,94,8711,800,6969200,0.0,0.0,94,8711,800,6969200,0.0,0.0,94,8711,800,6969200,0.0,0.0,94,8711,800,6969200,0.0,0.0,94,8711,800,6969200,0.0,0.0
95,0.0,Health,Dolnośląskie,0,8653648.82,9002625.14,0.0,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A95,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0,95,0,800,0,0.0,0.0
96,0.0,Wholesale/Retail Trade,Śląskie,0,8653610.61,8591246.79,62363.8200000003,0.0,62363.8200000003,0.0,62363.8200000003,11849.125800000056,800,11849.125800000056,9479300.640000045,A96,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0,96,11849,800,9479301,0.0,0.0
97,0.0,Other Service Activities,Mazowieckie,0,8653484.2,9434260.91,0.0,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A97,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0,97,0,800,0,0.0,0.0
98,0.0,Wholesale/Retail Trade,Mazowieckie,0,8652361.01,8442006.23,210354.77999999933,0.0,210354.77999999933,0.0,210354.77999999933,39967.408199999874,800,39967.408199999874,31973926.559999898,A98,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0,98,39967,800,31973927,0.0,0.0
99,0.0,Manufacturing,Mazowieckie,0,8652038.23,7238871.56,1413166.6700000009,0.0,1413166.6700000009,0.0,1413166.6700000009,268501.66730000015,800,268501.66730000015,214801333.84000012,A99,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0,99,268502,800,214801334,0.0,0.0
100,0.0,Manufacturing,Mazowieckie,0,8651651.11,8250825.59,400825.51999999955,0.0,400825.51999999955,0.0,400825.51999999955,76156.84879999992,800,76156.84879999992,60925479.03999993,A100,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0,100,76157,800,60925479,0.0,0.0
101,0.0,Manufacturing,Dolnośląskie,0,8651466.06,7729729.69,921736.3700000001,0.0,921736.3700000001,0.0,921736.3700000001,175129.91030000002,800,175129.91030000002,140103928.24,A101,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0,101,175130,800,140103928,0.0,0.0
102,0.0,Wholesale/Retail Trade,Dolnośląskie,0,8651319.06,8797739.96,0.0,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A102,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0,102,0,800,0,0.0,0.0
103,0.0,Real Estate,Mazowieckie,0,8651122.27,4050252.56,4600869.709999999,0.0,4189084.339999999,0.0,4189084.339999999,795926.0245999998,800,795926.0245999998,636740819.6799998,A103,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0,103,795926,800,636740820,0.0,0.0
104,0.0,Manufacturing,Wielkopolskie,0,8650282.12,8309500.36,340781.75999999885,0.0,340781.75999999885,0.0,340781.75999999885,64748.53439999978,800,64748.53439999978,51798827.519999824,A104,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0,104,64749,800,51798828,0.0,0.0
105,0.0,Manufacturing,Śląskie,0,8650138.6,8110508.68,539629.9199999999,17532.0,519597.9199999999,0.0,519597.9199999999,98723.60479999999,800,98723.60479999999,78978883.83999999,A105,105,98724,800,78978884,0.0,0.0,105,98724,800,78978884,0.0,0.0,105,98724,800,78978884,0.0,0.0,105,98724,800,78978884,0.0,0.0,105,102055,800,81643748,2.664864,2.664864,105,98724,800,78978884,0.0,0.0,105,98724,800,78978884,0.0,0.0,105,98724,800,78978884,0.0,0.0,105,98724,800,78978884,0.0,0.0,105,98724,800,78978884,0.0,0.0,105,98724,800,78978884,0.0,0.0,105,98724,800,78978884,0.0,0.0,105,98724,800,78978884,0.0,0.0,105,98724,800,78978884,0.0,0.0,105,98724,800,78978884,0.0,0.0,105,98724,800,78978884,0.0,0.0
106,0.0,Wholesale/Retail Trade,Wielkopolskie,0,8649109.86,10432322.53,0.0,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A106,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0,106,0,800,0,0.0,0.0
107,0.0,Manufacturing,Mazowieckie,0,8649004.5,9234185.1,0.0,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A107,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0,107,0,800,0,0.0,0.0
108,0.0,Wholesale/Retail Trade,Małopolskie,0,8648651.72,7373429.8,1275221.9200000009,0.0,1275221.9200000009,0.0,1275221.9200000009,242292.16480000017,800,242292.16480000017,193833731.84000015,A108,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0,108,242292,800,193833732,0.0,0.0
109,0.0,Wholesale/Retail Trade,Śląskie,0,8648646.76,8687142.48,0.0,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A109,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0,109,0,800,0,0.0,0.0
110,0.0,Not determined,Mazowieckie,0,8648557.13,9706220.52,0.0,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A110,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0,110,0,800,0,0.0,0.0
111,0.0,Utilities,Warmińsko-Mazurskie,0,8648516.98,7263064.5,1385452.4800000004,0.0,1385452.4800000004,0.0,1385452.4800000004,263235.9712000001,800,263235.9712000001,210588776.96000007,A111,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0,111,263236,800,210588777,0.0,0.0
112,0.0,ICT,Dolnośląskie,0,8648307.18,8007648.42,640658.7599999998,0.0,640158.7599999998,0.0,640158.7599999998,121630.16439999997,800,121630.16439999997,97304131.51999997,A112,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0,112,121630,800,97304132,0.0,0.0
